,Mean fitness value
0,0.7957238075706081
1,0.8360445232235635
2,0.8721834348998008
3,0.9081865502558696
4,0.9314228583147781
5,0.9503158814797452
6,0.9551432673151294
7,0.9631153560685959
8,0.9682209265986951
9,0.9736724579085122
10,0.9790088480018753
11,0.9809930563693894
12,0.9843505605687729
13,0.9865631469979295
14,0.9881788839407789
15,0.9896176608461267
16,0.9907192175475603
17,0.9921886108832374
18,0.9931562268057345
19,0.9937958514004455
20,0.9945582346966676
21,0.9951653384897846
22,0.9959547247939377
23,0.9964773526309624
24,0.996838206570569
25,0.9970353334114617
26,0.9973404722840734
27,0.9975519063244657
28,0.9979273604437675
29,0.9981392339544517
30,0.9981991484042343
31,0.9982707332317665
32,0.9984565803351695
33,0.9984754775577173
34,0.9986315383413416
35,0.9986845189265208
36,0.998842874721669
37,0.9989862885268954
38,0.9990370717606157
39,0.9991270166803391
40,0.9992188171412943
41,0.9992932341107073
42,0.9993132544240011
43,0.9993592034845113
44,0.9994086194773234
45,0.9994260517988983
46,0.9994693640376577
47,0.9994786905738504
48,0.9995141900074219
49,0.9995456365483029
50,0.9995530098831987
51,0.9995835774834955
52,0.9995830403531387
53,0.9995717117856165
54,0.9995926110394939
55,0.9996217625688503
56,0.9996367045587714
57,0.9996310402750112
58,0.999638462439939
59,0.9996486679167156
60,0.9996507676081096
61,0.9996456892847375
62,0.999656236571741
63,0.9996816281886008
64,0.9996855345911949
65,0.9996827024493145
66,0.9996815793585687
67,0.9996844115004495
68,0.9996883179030432
69,0.9997015020117974
70,0.9997037970233209
71,0.9997126352591896
72,0.9997193738036642
73,0.999718446033048
74,0.9997283585296302
75,0.9997290421500841
76,0.9997274307590144
77,0.9997305070510565
78,0.9997319719520293
79,0.9997244032970035
80,0.9997319719520296
81,0.9997332903629048
82,0.9997276749091762
83,0.999729628110473
84,0.9997339739833587
85,0.999731678971835
86,0.9997333880229696
87,0.9997412008281574
88,0.9997299699206998
89,0.9997378315559203
90,0.999739296456893
91,0.9997392964568927
92,0.9997341693034886
93,0.9997485253330208
94,0.9997477440525017
95,0.9997426168990977
96,0.9997415914684166
97,0.9997369037853038
98,0.9997481346927616
99,0.9997474510723076
100,0.9997448630805889
101,0.9997546779171061
102,0.9997471092620807
103,0.999749941403961
104,0.9997427145591623
105,0.9997377338958555
106,0.999743984140005
107,0.9997457908512053
108,0.999763760303137
109,0.9997564357982733
110,0.9997671295753742
111,0.9997634673229426
112,0.9997419821086759
113,0.9997408101878982
114,0.9997254287276849
115,0.999731923121997
116,0.9997303605609595
117,0.9997453513809132
118,0.9997300675807647
119,0.9997276260791431
120,0.9997512598148365
121,0.999732167272159
122,0.9997272354388844
123,0.9997561916481115
124,0.9997569240985978
125,0.9997423727489353
126,0.9997281143794677
127,0.9997476463924371
128,0.9997328997226455
129,0.9997381245361147
130,0.9997362201648503
131,0.9997386616664712
132,0.9997395406070556
133,0.9997276260791437
134,0.9997394917770227
135,0.9997461326614322
136,0.9997164440017187
137,0.9997186901832101
138,0.9997662994648232
139,0.99975233407555
140,0.9997629301925858
141,0.9997665924450175
142,0.9997619047619047
143,0.9997576077190516
144,0.9997557521778193
145,0.9997472069221452
146,0.9997619047619046
147,0.9997513086448689
148,0.9997606351810617
149,0.9997619535919373
150,0.9997674713856011
151,0.9997631743427478
152,0.9997475487323729
153,0.9997744052502053
154,0.9997713289581625
155,0.9997873940388298
156,0.9997586819797648
157,0.999731923121997
158,0.9997677155357632
159,0.9997514063049334
160,0.9997654693542717
161,0.9997528223758743
162,0.9997717195984216
163,0.9997583401695379
164,0.9997624418922609
165,0.9997382710262116
166,0.9997566311184031
167,0.9997396870971523
168,0.9997725008789407
169,0.9997326067424509
170,0.9997332415328725
171,0.9997426168990977
172,0.999749697253799
173,0.9997571194187272
174,0.9997601957107698
175,0.9997432516895192
176,0.9997609281612561
177,0.9997516992851282
178,0.9997538966365875
179,0.999762393062229
180,0.9997384175163094
181,0.9997786046329934
182,0.9997702546974493
183,0.9997762119614045
184,0.9997444236102971
185,0.999774893550529
186,0.9997781163326692
187,0.9997514551349664
188,0.9997621000820346
189,0.9997952556740497
190,0.9997580471893436
191,0.9997988202664168
192,0.999793204812688
193,0.9997680573459901
194,0.9997810461346146
195,0.9997874916988944
196,0.9998031661393022
197,0.9997745029102701
198,0.999809123403258
199,0.9998148853470838
